Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
179,63,21,170,[(genotype: 2312, frequency: 7), (genotype: 6263, frequency: 5), (genotype: 2052, frequency: 5)],31,015873,50,485437,2,317460
180,60,24,174,[(genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2502, frequency: 4)],31,816667,50,783019,2,333333
181,59,20,173,[(genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2502, frequency: 4)],33,389831,50,579439,2,355932
182,58,22,174,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2502, frequency: 4)],33,500000,50,284404,2,431034
183,55,20,175,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2502, frequency: 4)],35,963636,49,794643,2,563636
184,55,19,177,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2502, frequency: 4)],36,327273,49,794643,2,563636
185,56,18,175,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2502, frequency: 4)],36,035714,49,794643,2,553571
186,57,17,175,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2502, frequency: 4)],35,736842,49,794643,2,543860
187,56,20,176,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2537, frequency: 3)],35,660714,49,543860,2,607143
188,56,19,176,[(genotype: 6263, frequency: 5), (genotype: 2312, frequency: 5), (genotype: 2537, frequency: 3)],36,000000,49,543860,2,607143
189,59,20,179,[(genotype: 6263, frequency: 6), (genotype: 2312, frequency: 5), (genotype: 3052, frequency: 3)],33,983051,49,543860,2,576271
190,60,23,177,[(genotype: 6263, frequency: 6), (genotype: 2312, frequency: 5), (genotype: 3052, frequency: 3)],32,700000,49,478261,2,600000
191,59,20,177,[(genotype: 6263, frequency: 6), (genotype: 2312, frequency: 5), (genotype: 3002, frequency: 3)],34,033898,50,413793,2,423729
192,60,20,173,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 5), (genotype: 3002, frequency: 3)],33,483333,50,413793,2,416667
193,60,19,175,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 5), (genotype: 3002, frequency: 3)],33,733333,50,413793,2,416667
194,60,20,172,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 5), (genotype: 3002, frequency: 3)],33,483333,50,413793,2,416667
195,62,20,173,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 5), (genotype: 3002, frequency: 3)],32,403226,50,413793,2,403226
196,63,18,176,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 5), (genotype: 6260, frequency: 3)],32,333333,50,413793,2,396825
197,64,18,173,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 5), (genotype: 6260, frequency: 3)],31,781250,50,413793,2,390625
198,65,17,168,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 6), (genotype: 6260, frequency: 3)],31,461538,50,413793,2,384615
199,64,19,170,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 6), (genotype: 6260, frequency: 3)],31,421875,50,726496,2,421875
200,63,19,174,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],31,888889,51,924370,2,365079
201,62,21,171,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],31,629032,51,917355,2,403226
202,60,20,177,[(genotype: 6263, frequency: 8), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],32,500000,51,894309,2,450000
203,57,20,176,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],34,017544,53,173228,2,456140
204,57,16,175,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],34,859649,53,173228,2,456140
205,57,17,171,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 7), (genotype: 6260, frequency: 3)],34,649123,53,173228,2,456140
206,55,17,179,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 7), (genotype: 3002, frequency: 3)],36,000000,53,248062,2,527273
207,55,18,174,[(genotype: 6263, frequency: 7), (genotype: 2312, frequency: 7), (genotype: 3002, frequency: 3)],35,818182,53,248062,2,527273
208,56,18,177,[(genotype: 2312, frequency: 8), (genotype: 6263, frequency: 7), (genotype: 3002, frequency: 3)],35,267857,53,248062,2,517857
209,57,16,175,[(genotype: 2312, frequency: 8), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 3)],35,263158,53,046154,2,543860
210,59,17,179,[(genotype: 2312, frequency: 8), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,881356,52,961832,2,559322
211,59,18,182,[(genotype: 2312, frequency: 8), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,644068,52,961832,2,559322
212,59,17,174,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,932203,52,765152,2,593220
213,60,17,172,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,383333,52,765152,2,583333
214,59,18,175,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,711864,52,684211,2,627119
215,59,18,179,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 7), (genotype: 6260, frequency: 4)],33,745763,53,291045,2,644068
216,57,20,182,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 6), (genotype: 6260, frequency: 4)],34,473684,52,934307,2,771930
217,55,21,178,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 6), (genotype: 6260, frequency: 4)],35,545455,52,561151,2,872727
218,55,19,180,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 5), (genotype: 6260, frequency: 4)],36,200000,52,592857,2,909091
219,54,21,180,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 4)],36,425926,52,411348,2,962963
220,55,21,182,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 4)],35,872727,52,411348,2,945455
221,55,20,180,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 4)],36,236364,52,411348,2,945455
222,54,21,179,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 4)],36,759259,52,888112,2,907407
223,56,17,180,[(genotype: 2312, frequency: 9), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],36,642857,52,708333,2,910714
224,58,18,180,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],35,206897,53,310345,2,844828
225,59,20,179,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],34,135593,53,310345,2,830508
226,59,20,174,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],34,152542,53,310345,2,830508
227,60,23,174,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],32,850000,53,310345,2,816667
228,59,24,179,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],33,169492,53,232877,2,864407
229,58,26,174,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],33,258621,53,986395,2,896552
230,58,23,171,[(genotype: 2312, frequency: 11), (genotype: 6263, frequency: 4), (genotype: 6260, frequency: 3)],34,068966,53,986395,2,896552
231,57,23,174,[(genotype: 2312, frequency: 12), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],34,736842,55,093960,2,719298
232,57,22,176,[(genotype: 2312, frequency: 12), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],35,052632,55,093960,2,719298
233,58,18,176,[(genotype: 2312, frequency: 12), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],35,534483,55,093960,2,706897
234,60,14,177,[(genotype: 2312, frequency: 12), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],35,383333,55,093960,2,683333
235,61,13,173,[(genotype: 2312, frequency: 13), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],35,065574,55,420000,2,688525
236,60,14,178,[(genotype: 2312, frequency: 13), (genotype: 6263, frequency: 3), (genotype: 6260, frequency: 3)],35,400000,55,456954,2,700000
237,59,16,172,[(genotype: 2312, frequency: 13), (genotype: 6263, frequency: 3), (genotype: 2626, frequency: 3)],35,508475,55,269737,2,745763
238,62,17,173,[(genotype: 2312, frequency: 14), (genotype: 6263, frequency: 3), (genotype: 6200, frequency: 3)],33,564516,55,269737,2,709677
239,61,17,173,[(genotype: 2312, frequency: 14), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],34,098361,55,444444,2,672131
240,61,19,176,[(genotype: 2312, frequency: 14), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],33,590164,55,444444,2,672131
241,64,19,174,[(genotype: 2312, frequency: 14), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],32,000000,55,444444,2,640625
242,65,22,174,[(genotype: 2312, frequency: 15), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],30,353846,55,444444,2,630769
243,63,22,170,[(genotype: 2312, frequency: 14), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],30,507937,56,161290,2,603175
244,62,20,177,[(genotype: 2312, frequency: 12), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],30,403226,55,796178,2,645161
245,59,18,176,[(genotype: 2312, frequency: 12), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],31,949153,55,762500,2,677966
246,58,17,174,[(genotype: 2312, frequency: 12), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],32,534483,55,496894,2,706897
247,57,17,173,[(genotype: 2312, frequency: 12), (genotype: 6200, frequency: 3), (genotype: 2626, frequency: 3)],31,964912,55,320988,2,754386
248,53,18,182,[(genotype: 2312, frequency: 11), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],34,245283,56,311377,2,716981
249,55,18,179,[(genotype: 2312, frequency: 11), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],32,854545,56,311377,2,690909
250,54,19,177,[(genotype: 2312, frequency: 11), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],33,314815,55,964497,2,777778
251,51,19,181,[(genotype: 2312, frequency: 8), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],34,254902,56,290698,2,862745
252,47,19,183,[(genotype: 2312, frequency: 8), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],36,680851,56,295455,2,957447
253,48,18,182,[(genotype: 2312, frequency: 9), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],35,895833,56,807910,2,916667
254,46,21,182,[(genotype: 2312, frequency: 9), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],36,782609,56,927374,2,978261
255,46,20,182,[(genotype: 2312, frequency: 9), (genotype: 2537, frequency: 3), (genotype: 7713, frequency: 2)],37,108696,58,027778,2,760870
256,48,18,187,[(genotype: 2312, frequency: 10), (genotype: 2622, frequency: 3), (genotype: 2537, frequency: 3)],36,479167,58,027778,2,729167
257,50,21,187,[(genotype: 2312, frequency: 11), (genotype: 6260, frequency: 3), (genotype: 2622, frequency: 3)],34,360000,58,027778,2,700000
258,50,22,184,[(genotype: 2312, frequency: 11), (genotype: 6260, frequency: 3), (genotype: 2622, frequency: 3)],34,260000,58,027778,2,700000
259,51,22,180,[(genotype: 2312, frequency: 11), (genotype: 6260, frequency: 4), (genotype: 2622, frequency: 3)],33,784314,58,027778,2,686275
260,52,22,180,[(genotype: 2312, frequency: 12), (genotype: 6260, frequency: 4), (genotype: 2622, frequency: 3)],33,307692,58,027778,2,673077
261,51,22,180,[(genotype: 2312, frequency: 12), (genotype: 6260, frequency: 4), (genotype: 2622, frequency: 3)],34,137255,58,292818,2,686275
262,50,20,178,[(genotype: 2312, frequency: 12), (genotype: 6260, frequency: 4), (genotype: 2622, frequency: 3)],35,620000,59,197802,2,580000
263,50,19,181,[(genotype: 2312, frequency: 13), (genotype: 6260, frequency: 4), (genotype: 2622, frequency: 3)],36,140000,59,289617,2,580000
