Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
44,36,52,195,[(genotype: 2552, frequency: 3), (genotype: 2312, frequency: 3), (genotype: 3002, frequency: 2)],53,083333,35,500000,1,305556
45,37,51,192,[(genotype: 2552, frequency: 3), (genotype: 2502, frequency: 3), (genotype: 3002, frequency: 2)],52,729730,25,333333,1,378378
46,37,51,192,[(genotype: 2552, frequency: 3), (genotype: 2502, frequency: 3), (genotype: 3002, frequency: 2)],52,945946,25,333333,1,378378
47,37,50,192,[(genotype: 2552, frequency: 3), (genotype: 2502, frequency: 3), (genotype: 3002, frequency: 2)],53,162162,25,333333,1,378378
48,39,51,193,[(genotype: 2502, frequency: 4), (genotype: 2552, frequency: 3), (genotype: 3002, frequency: 2)],50,641026,25,333333,1,410256
49,39,51,195,[(genotype: 2552, frequency: 4), (genotype: 2502, frequency: 4), (genotype: 3002, frequency: 2)],51,205128,25,750000,1,461538
50,40,49,191,[(genotype: 2502, frequency: 5), (genotype: 2552, frequency: 4), (genotype: 3002, frequency: 2)],51,200000,25,750000,1,475000
51,43,48,196,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 2626, frequency: 3)],48,441860,25,750000,1,511628
52,46,50,191,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 2626, frequency: 3)],45,000000,25,750000,1,543478
53,46,45,188,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 2626, frequency: 3)],46,956522,31,200000,1,565217
54,48,44,186,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 3)],45,604167,31,200000,1,583333
55,47,42,184,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 3)],47,510638,38,000000,1,574468
56,48,40,184,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 3)],47,416667,38,000000,1,583333
57,48,40,184,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 3)],47,687500,38,500000,1,625000
58,47,41,184,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 3)],48,659574,38,888889,1,659574
59,49,37,186,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 2626, frequency: 4)],48,163265,38,888889,1,673469
60,52,38,184,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],45,307692,38,888889,1,692308
61,53,38,181,[(genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5), (genotype: 6263, frequency: 4)],44,603774,38,888889,1,698113
62,55,36,183,[(genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5)],43,654545,38,888889,1,709091
63,56,34,181,[(genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5), (genotype: 2502, frequency: 5)],43,500000,38,888889,1,714286
64,56,33,181,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2626, frequency: 4)],43,857143,37,900000,1,732143
65,58,31,187,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2626, frequency: 4)],42,931034,37,900000,1,741379
66,58,30,180,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2626, frequency: 4)],43,224138,37,900000,1,741379
67,59,30,179,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],42,525424,37,900000,1,745763
68,60,30,179,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],41,833333,37,900000,1,750000
69,61,28,176,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],41,639344,37,900000,1,754098
70,62,27,179,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],41,193548,37,900000,1,758065
71,62,29,177,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],40,693548,36,909091,1,790323
72,61,29,174,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],41,344262,36,083333,1,819672
73,61,26,173,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2552, frequency: 5)],42,065574,36,083333,1,819672
74,63,25,172,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2670, frequency: 5)],40,952381,36,083333,1,825397
75,64,20,172,[(genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5), (genotype: 2670, frequency: 5)],41,437500,36,083333,1,828125
76,67,16,176,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 6), (genotype: 6263, frequency: 5)],40,417910,36,083333,1,835821
77,68,19,174,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],39,058824,36,083333,1,838235
78,68,18,171,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],39,176471,35,384615,1,867647
79,70,19,172,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],37,742857,34,785714,1,900000
80,71,18,173,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],37,281690,34,785714,1,901408
81,75,17,175,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],35,346667,34,785714,1,906667
82,76,18,169,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],34,434211,34,785714,1,907895
83,74,18,170,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],34,972973,33,562500,1,959459
84,77,21,172,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],32,545455,35,411765,1,935065
85,78,19,165,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],32,115385,34,666667,1,935897
86,78,19,164,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],31,897436,34,263158,1,961538
87,77,20,161,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],31,896104,36,900000,1,948052
88,77,21,167,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],31,493506,36,428571,1,974026
89,76,21,167,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 4)],31,710526,35,608696,2,026316
90,77,23,159,[(genotype: 2502, frequency: 8), (genotype: 2670, frequency: 6), (genotype: 6263, frequency: 5)],30,701299,35,608696,2,025974
91,78,22,164,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6)],30,294872,35,250000,2,051282
92,78,22,164,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6)],30,064103,35,250000,2,051282
93,79,22,162,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6)],29,455696,35,250000,2,050633
94,79,25,166,[(genotype: 2502, frequency: 7), (genotype: 2670, frequency: 6), (genotype: 2312, frequency: 6)],28,645570,35,250000,2,050633
95,77,20,165,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6)],30,142857,37,115385,1,974026
96,77,21,166,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6)],29,727273,37,115385,1,974026
97,75,22,169,[(genotype: 2670, frequency: 6), (genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6)],30,133333,37,758621,2,026667
98,73,22,169,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5)],30,794521,38,656250,2,000000
99,72,22,170,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5)],31,069444,42,205882,1,805556
100,74,22,162,[(genotype: 2502, frequency: 6), (genotype: 2312, frequency: 6), (genotype: 6263, frequency: 5)],30,067568,42,205882,1,810811
