Day,Animal number,Plants number,Free positions number,Genotype ranking,Average energy level,Average dead lifespan,Average children number
147,110,14,34,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],17,172727,17,811820,5,327273
148,111,13,36,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626244054054026765, frequency: 3), (genotype: 4211672626221707711336546, frequency: 3)],17,063063,17,797840,5,360360
149,116,13,38,[(genotype: 2265515760444054535522136, frequency: 9), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626244054054026765, frequency: 2)],16,258621,17,812596,5,232759
150,114,16,35,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 4211672626244054054026765, frequency: 2)],16,201754,17,778116,5,368421
151,108,14,36,[(genotype: 2265515760444054535522136, frequency: 7), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 4211672626244054054026765, frequency: 2)],17,250000,18,148204,4,953704
152,110,15,34,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 4211672626244054054026765, frequency: 2)],16,809091,18,187500,4,872727
153,111,15,37,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626221707717444606, frequency: 2)],16,612613,18,378139,4,621622
154,109,18,29,[(genotype: 2265515760444054535522136, frequency: 8), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626221707717444606, frequency: 2)],16,587156,18,346041,4,715596
155,107,19,35,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626221707717444606, frequency: 2)],16,803738,18,358900,4,794393
156,105,19,37,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626221707717444606, frequency: 2)],17,123810,18,320917,4,876190
157,109,16,40,[(genotype: 2265515760444054535522136, frequency: 7), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 4211672626221707717444606, frequency: 2)],16,761468,18,386040,4,779817
158,111,15,31,[(genotype: 2265515760444054535522136, frequency: 7), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 6264705760444054557202367, frequency: 2)],16,486486,18,365057,4,747748
159,115,17,40,[(genotype: 2265515760444054535522136, frequency: 7), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3)],15,678261,18,358757,4,713043
160,116,13,29,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3)],15,801724,18,356241,4,732759
161,118,16,38,[(genotype: 2265515760444054535522136, frequency: 6), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3)],15,161017,18,398601,4,711864
162,118,16,29,[(genotype: 2265515760444054535522136, frequency: 7), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3)],15,042373,18,364395,4,754237
163,115,13,31,[(genotype: 2265515760444054535522136, frequency: 5), (genotype: 4211672626221707711336546, frequency: 4), (genotype: 2661003245031227520635741, frequency: 3)],15,608696,18,359010,4,869565
164,114,13,34,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6264705760444054557202367, frequency: 2)],15,684211,18,435374,4,710526
165,115,12,32,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6264705760444054557202367, frequency: 2)],15,556522,18,418919,4,713043
166,110,14,30,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 6264705760444054557202367, frequency: 2)],16,018182,18,500000,4,763636
167,110,14,36,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 4211672626221707711336546, frequency: 3), (genotype: 2265515726244054054026765, frequency: 3)],15,972727,18,616202,4,681818
168,113,16,34,[(genotype: 2265515760444054535522136, frequency: 4), (genotype: 2265515726244054054026765, frequency: 3), (genotype: 4211672626221707717444606, frequency: 2)],15,327434,18,618734,4,610619
